Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_247_1213,VPWR,li1,566.2600,682.7200,1.799996
FILLER_247_1201,VPWR,li1,560.7400,682.7200,1.799996
FILLER_247_1189,VPWR,li1,555.2200,682.7200,1.799996
FILLER_247_1177,VPWR,li1,549.7000,682.7200,1.799995
FILLER_247_1175,VPWR,li1,546.2500,682.7200,1.799995
FILLER_247_1173,VPWR,li1,545.5600,682.7200,1.799995
FILLER_247_1169,VPWR,li1,544.1800,682.7200,1.799995
FILLER_247_1157,VPWR,li1,540.5000,682.7200,1.799995
FILLER_247_1145,VPWR,li1,534.9800,682.7200,1.799995
FILLER_247_1133,VPWR,li1,529.4600,682.7200,1.799994
FILLER_247_1121,VPWR,li1,523.9400,682.7200,1.799994
FILLER_247_1119,VPWR,li1,520.4900,682.7200,1.799994
FILLER_247_1117,VPWR,li1,519.8000,682.7200,1.799994
FILLER_247_1113,VPWR,li1,518.4200,682.7200,1.799994
FILLER_247_1101,VPWR,li1,514.7400,682.7200,1.799994
FILLER_247_1089,VPWR,li1,509.2200,682.7200,1.799993
FILLER_247_1077,VPWR,li1,503.7000,682.7200,1.799993
FILLER_247_1065,VPWR,li1,498.1800,682.7200,1.799993
FILLER_247_1063,VPWR,li1,494.7300,682.7200,1.799993
FILLER_247_1061,VPWR,li1,494.0400,682.7200,1.799993
FILLER_247_1057,VPWR,li1,492.6600,682.7200,1.799993
FILLER_247_1045,VPWR,li1,488.9800,682.7200,1.799992
FILLER_247_1033,VPWR,li1,483.4600,682.7200,1.799992
FILLER_247_1021,VPWR,li1,477.9400,682.7200,1.799989
FILLER_247_1009,VPWR,li1,472.4200,682.7200,1.799984
FILLER_247_1007,VPWR,li1,468.9700,682.7200,1.799981
FILLER_247_1005,VPWR,li1,468.2800,682.7200,1.799979
FILLER_247_1001,VPWR,li1,466.9000,682.7200,1.799979
FILLER_247_989,VPWR,li1,463.2200,682.7200,1.799976
FILLER_247_977,VPWR,li1,457.7000,682.7200,1.799972
FILLER_247_965,VPWR,li1,452.1800,682.7200,1.799967
FILLER_247_953,VPWR,li1,446.6600,682.7200,1.799962
FILLER_247_951,VPWR,li1,443.2100,682.7200,1.799959
FILLER_247_949,VPWR,li1,442.5200,682.7200,1.799957
FILLER_247_945,VPWR,li1,441.1400,682.7200,1.799957
FILLER_247_933,VPWR,li1,437.4600,682.7200,1.799954
FILLER_247_921,VPWR,li1,431.9400,682.7200,1.799950
FILLER_247_909,VPWR,li1,426.4200,682.7200,1.799945
FILLER_247_897,VPWR,li1,420.9000,682.7200,1.799940
FILLER_247_895,VPWR,li1,417.4500,682.7200,1.799937
FILLER_247_893,VPWR,li1,416.7600,682.7200,1.799937
FILLER_247_841,VPWR,li1,392.6100,682.7200,1.799924
FILLER_247_819,VPWR,li1,382.4900,682.7200,1.799926
FILLER_247_751,VPWR,li1,351.2100,682.7200,1.799947
FILLER_247_749,VPWR,li1,350.5200,682.7200,1.799949
FILLER_247_745,VPWR,li1,349.1400,682.7200,1.799949
FILLER_247_713,VPWR,li1,333.7300,682.7200,1.799972
FILLER_247_709,VPWR,li1,332.5800,682.7200,1.799972
FILLER_247_697,VPWR,li1,328.9000,682.7200,1.799978
FILLER_247_685,VPWR,li1,323.3800,682.7200,1.799975
FILLER_247_673,VPWR,li1,317.8600,682.7200,1.799973
FILLER_247_670,VPWR,li1,314.1800,682.7200,1.799971
FILLER_247_649,VPWR,li1,304.2900,682.7200,1.799967
FILLER_247_617,VPWR,li1,289.5700,682.7200,1.799966
FILLER_247_609,VPWR,li1,286.1200,682.7200,1.799967
FILLER_247_597,VPWR,li1,282.9000,682.7200,1.799968
FILLER_247_585,VPWR,li1,277.3800,682.7200,1.799970
FILLER_247_573,VPWR,li1,271.8600,682.7200,1.799971
FILLER_247_561,VPWR,li1,266.3400,682.7200,1.799972
FILLER_247_559,VPWR,li1,262.8900,682.7200,1.799973
FILLER_247_557,VPWR,li1,262.2000,682.7200,1.799974
FILLER_247_553,VPWR,li1,260.8200,682.7200,1.799974
FILLER_247_541,VPWR,li1,257.1400,682.7200,1.799975
FILLER_247_529,VPWR,li1,251.6200,682.7200,1.799977
FILLER_247_517,VPWR,li1,246.1000,682.7200,1.799978
FILLER_247_505,VPWR,li1,240.5800,682.7200,1.799980
FILLER_247_503,VPWR,li1,237.1300,682.7200,1.799980
FILLER_247_501,VPWR,li1,236.4400,682.7200,1.799981
FILLER_247_497,VPWR,li1,235.0600,682.7200,1.799981
FILLER_247_485,VPWR,li1,231.3800,682.7200,1.799982
FILLER_247_473,VPWR,li1,225.8600,682.7200,1.799984
FILLER_247_461,VPWR,li1,220.3400,682.7200,1.799985
FILLER_247_449,VPWR,li1,214.8200,682.7200,1.799987
FILLER_247_447,VPWR,li1,211.3700,682.7200,1.799988
FILLER_247_445,VPWR,li1,210.6800,682.7200,1.799988
FILLER_247_441,VPWR,li1,209.3000,682.7200,1.799988
FILLER_247_429,VPWR,li1,205.6200,682.7200,1.799989
FILLER_247_417,VPWR,li1,200.1000,682.7200,1.799991
FILLER_247_405,VPWR,li1,194.5800,682.7200,1.799992
FILLER_247_393,VPWR,li1,189.0600,682.7200,1.799994
FILLER_247_391,VPWR,li1,185.6100,682.7200,1.799995
FILLER_247_389,VPWR,li1,184.9200,682.7200,1.799995
FILLER_247_385,VPWR,li1,183.5400,682.7200,1.799995
FILLER_247_373,VPWR,li1,179.8600,682.7200,1.799996
FILLER_247_361,VPWR,li1,174.3400,682.7200,1.799997
FILLER_247_349,VPWR,li1,168.8200,682.7200,1.799998
FILLER_247_337,VPWR,li1,163.3000,682.7200,1.799998
FILLER_247_335,VPWR,li1,159.8500,682.7200,1.799998
FILLER_247_333,VPWR,li1,159.1600,682.7200,1.799998
FILLER_247_329,VPWR,li1,157.7800,682.7200,1.799998
FILLER_247_317,VPWR,li1,154.1000,682.7200,1.799998
FILLER_247_305,VPWR,li1,148.5800,682.7200,1.799998
FILLER_247_293,VPWR,li1,143.0600,682.7200,1.799998
FILLER_247_281,VPWR,li1,137.5400,682.7200,1.799998
FILLER_247_279,VPWR,li1,134.0900,682.7200,1.799998
FILLER_247_277,VPWR,li1,133.4000,682.7200,1.799998
FILLER_247_273,VPWR,li1,132.0200,682.7200,1.799998
FILLER_247_261,VPWR,li1,128.3400,682.7200,1.799998
FILLER_247_249,VPWR,li1,122.8200,682.7200,1.799998
FILLER_247_237,VPWR,li1,117.3000,682.7200,1.799998
FILLER_247_225,VPWR,li1,111.7800,682.7200,1.799998
FILLER_247_223,VPWR,li1,108.3300,682.7200,1.799998
FILLER_247_221,VPWR,li1,107.6400,682.7200,1.799998
FILLER_247_217,VPWR,li1,106.2600,682.7200,1.799998
FILLER_247_205,VPWR,li1,102.5800,682.7200,1.799999
FILLER_247_193,VPWR,li1,97.0600,682.7200,1.799999
FILLER_247_181,VPWR,li1,91.5400,682.7200,1.799999
FILLER_247_169,VPWR,li1,86.0200,682.7200,1.799999
FILLER_247_167,VPWR,li1,82.5700,682.7200,1.799999
FILLER_247_165,VPWR,li1,81.8800,682.7200,1.799999
FILLER_247_161,VPWR,li1,80.5000,682.7200,1.799999
FILLER_247_149,VPWR,li1,76.8200,682.7200,1.799999
FILLER_247_137,VPWR,li1,71.3000,682.7200,1.799999
FILLER_247_125,VPWR,li1,65.7800,682.7200,1.799999
FILLER_247_113,VPWR,li1,60.2600,682.7200,1.799999
FILLER_247_111,VPWR,li1,56.8100,682.7200,1.799999
FILLER_247_109,VPWR,li1,56.1200,682.7200,1.799999
FILLER_247_105,VPWR,li1,54.7400,682.7200,1.799999
FILLER_247_93,VPWR,li1,51.0600,682.7200,1.799999
FILLER_247_81,VPWR,li1,45.5400,682.7200,1.799999
FILLER_247_69,VPWR,li1,40.0200,682.7200,1.800000
FILLER_247_57,VPWR,li1,34.5000,682.7200,1.800000
FILLER_247_55,VPWR,li1,31.0500,682.7200,1.800000
FILLER_247_51,VPWR,li1,29.9000,682.7200,1.800000
FILLER_247_39,VPWR,li1,26.2200,682.7200,1.800000
FILLER_247_27,VPWR,li1,20.7000,682.7200,1.800000
FILLER_247_15,VPWR,li1,15.1800,682.7200,1.800000
FILLER_247_3,VPWR,li1,9.6600,682.7200,1.800000
FILLER_246_1493,VPWR,li1,692.5300,682.7200,1.800000
FILLER_246_1485,VPWR,li1,690.4600,682.7200,1.800000
FILLER_246_1483,VPWR,li1,687.9300,682.7200,1.800000
FILLER_246_1481,VPWR,li1,687.2400,682.7200,1.800000
FILLER_246_1477,VPWR,li1,685.8600,682.7200,1.800000
FILLER_246_1465,VPWR,li1,682.1800,682.7200,1.800000
FILLER_246_1453,VPWR,li1,676.6600,682.7200,1.800000
FILLER_246_1441,VPWR,li1,671.1400,682.7200,1.800000
FILLER_246_1429,VPWR,li1,665.6200,682.7200,1.800000
FILLER_246_1427,VPWR,li1,662.1700,682.7200,1.800000
FILLER_246_1425,VPWR,li1,661.4800,682.7200,1.800000
FILLER_246_1421,VPWR,li1,660.1000,682.7200,1.800000
FILLER_246_1409,VPWR,li1,656.4200,682.7200,1.800000
FILLER_246_1397,VPWR,li1,650.9000,682.7200,1.800000
FILLER_246_1385,VPWR,li1,645.3800,682.7200,1.800000
FILLER_246_1373,VPWR,li1,639.8600,682.7200,1.800000
FILLER_246_1371,VPWR,li1,636.4100,682.7200,1.800000
FILLER_246_1369,VPWR,li1,635.7200,682.7200,1.799999
FILLER_246_1365,VPWR,li1,634.3400,682.7200,1.799999
FILLER_246_1353,VPWR,li1,630.6600,682.7200,1.799999
FILLER_246_1341,VPWR,li1,625.1400,682.7200,1.799999
FILLER_246_1329,VPWR,li1,619.6200,682.7200,1.799999
FILLER_246_1317,VPWR,li1,614.1000,682.7200,1.799998
FILLER_246_1315,VPWR,li1,610.6500,682.7200,1.799998
FILLER_246_1313,VPWR,li1,609.9600,682.7200,1.799998
FILLER_246_1309,VPWR,li1,608.5800,682.7200,1.799998
FILLER_246_1297,VPWR,li1,604.9000,682.7200,1.799998
FILLER_246_1285,VPWR,li1,599.3800,682.7200,1.799998
FILLER_246_1273,VPWR,li1,593.8600,682.7200,1.799997
FILLER_246_1261,VPWR,li1,588.3400,682.7200,1.799997
FILLER_246_1259,VPWR,li1,584.8900,682.7200,1.799997
FILLER_246_1257,VPWR,li1,584.2000,682.7200,1.799997
