Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_247_697,VGND,li1,328.9000,685.4400,0.000020
FILLER_247_685,VGND,li1,323.3800,685.4400,0.000022
FILLER_247_673,VGND,li1,317.8600,685.4400,0.000025
FILLER_247_670,VGND,li1,314.1800,685.4400,0.000026
FILLER_247_649,VGND,li1,304.2900,685.4400,0.000030
FILLER_247_617,VGND,li1,289.5700,685.4400,0.000029
FILLER_247_609,VGND,li1,286.1200,685.4400,0.000028
FILLER_247_597,VGND,li1,282.9000,685.4400,0.000028
FILLER_247_585,VGND,li1,277.3800,685.4400,0.000027
FILLER_247_573,VGND,li1,271.8600,685.4400,0.000026
FILLER_247_561,VGND,li1,266.3400,685.4400,0.000025
FILLER_247_559,VGND,li1,262.8900,685.4400,0.000024
FILLER_247_557,VGND,li1,262.2000,685.4400,0.000024
FILLER_247_553,VGND,li1,260.8200,685.4400,0.000024
FILLER_247_541,VGND,li1,257.1400,685.4400,0.000023
FILLER_247_529,VGND,li1,251.6200,685.4400,0.000022
FILLER_247_517,VGND,li1,246.1000,685.4400,0.000022
FILLER_247_505,VGND,li1,240.5800,685.4400,0.000020
FILLER_247_503,VGND,li1,237.1300,685.4400,0.000019
FILLER_247_501,VGND,li1,236.4400,685.4400,0.000019
FILLER_247_497,VGND,li1,235.0600,685.4400,0.000019
FILLER_247_485,VGND,li1,231.3800,685.4400,0.000018
FILLER_247_473,VGND,li1,225.8600,685.4400,0.000016
FILLER_247_461,VGND,li1,220.3400,685.4400,0.000015
FILLER_247_449,VGND,li1,214.8200,685.4400,0.000013
FILLER_247_447,VGND,li1,211.3700,685.4400,0.000013
FILLER_247_445,VGND,li1,210.6800,685.4400,0.000012
FILLER_247_441,VGND,li1,209.3000,685.4400,0.000012
FILLER_247_429,VGND,li1,205.6200,685.4400,0.000011
FILLER_247_417,VGND,li1,200.1000,685.4400,0.000009
FILLER_247_405,VGND,li1,194.5800,685.4400,0.000008
FILLER_247_393,VGND,li1,189.0600,685.4400,0.000006
FILLER_247_391,VGND,li1,185.6100,685.4400,0.000005
FILLER_247_389,VGND,li1,184.9200,685.4400,0.000004
FILLER_247_385,VGND,li1,183.5400,685.4400,0.000004
FILLER_247_373,VGND,li1,179.8600,685.4400,0.000003
FILLER_247_361,VGND,li1,174.3400,685.4400,0.000003
FILLER_247_349,VGND,li1,168.8200,685.4400,0.000003
FILLER_247_337,VGND,li1,163.3000,685.4400,0.000003
FILLER_247_335,VGND,li1,159.8500,685.4400,0.000002
FILLER_247_333,VGND,li1,159.1600,685.4400,0.000002
FILLER_247_329,VGND,li1,157.7800,685.4400,0.000002
FILLER_247_317,VGND,li1,154.1000,685.4400,0.000002
FILLER_247_305,VGND,li1,148.5800,685.4400,0.000002
FILLER_247_293,VGND,li1,143.0600,685.4400,0.000002
FILLER_247_281,VGND,li1,137.5400,685.4400,0.000002
FILLER_247_279,VGND,li1,134.0900,685.4400,0.000002
FILLER_247_277,VGND,li1,133.4000,685.4400,0.000002
FILLER_247_273,VGND,li1,132.0200,685.4400,0.000002
FILLER_247_261,VGND,li1,128.3400,685.4400,0.000002
FILLER_247_249,VGND,li1,122.8200,685.4400,0.000002
FILLER_247_237,VGND,li1,117.3000,685.4400,0.000002
FILLER_247_225,VGND,li1,111.7800,685.4400,0.000002
FILLER_247_223,VGND,li1,108.3300,685.4400,0.000002
FILLER_247_221,VGND,li1,107.6400,685.4400,0.000002
FILLER_247_217,VGND,li1,106.2600,685.4400,0.000002
FILLER_247_205,VGND,li1,102.5800,685.4400,0.000002
FILLER_247_193,VGND,li1,97.0600,685.4400,0.000001
FILLER_247_181,VGND,li1,91.5400,685.4400,0.000001
FILLER_247_169,VGND,li1,86.0200,685.4400,0.000001
FILLER_247_167,VGND,li1,82.5700,685.4400,0.000001
FILLER_247_165,VGND,li1,81.8800,685.4400,0.000001
FILLER_247_161,VGND,li1,80.5000,685.4400,0.000001
FILLER_247_149,VGND,li1,76.8200,685.4400,0.000001
FILLER_247_137,VGND,li1,71.3000,685.4400,0.000001
FILLER_247_125,VGND,li1,65.7800,685.4400,0.000001
FILLER_247_113,VGND,li1,60.2600,685.4400,0.000001
FILLER_247_111,VGND,li1,56.8100,685.4400,0.000001
FILLER_247_109,VGND,li1,56.1200,685.4400,0.000001
FILLER_247_105,VGND,li1,54.7400,685.4400,0.000001
FILLER_247_93,VGND,li1,51.0600,685.4400,0.000001
FILLER_247_81,VGND,li1,45.5400,685.4400,0.000001
FILLER_247_69,VGND,li1,40.0200,685.4400,0.000000
FILLER_247_57,VGND,li1,34.5000,685.4400,0.000000
FILLER_247_55,VGND,li1,31.0500,685.4400,0.000000
FILLER_247_51,VGND,li1,29.9000,685.4400,0.000000
FILLER_247_39,VGND,li1,26.2200,685.4400,0.000000
FILLER_247_27,VGND,li1,20.7000,685.4400,0.000000
FILLER_247_15,VGND,li1,15.1800,685.4400,0.000000
FILLER_247_3,VGND,li1,9.6600,685.4400,0.000000
FILLER_246_1493,VGND,li1,692.5300,680.0000,0.000000
FILLER_246_1485,VGND,li1,690.4600,680.0000,0.000000
FILLER_246_1483,VGND,li1,687.9300,680.0000,0.000000
FILLER_246_1481,VGND,li1,687.2400,680.0000,0.000000
FILLER_246_1477,VGND,li1,685.8600,680.0000,0.000000
FILLER_246_1465,VGND,li1,682.1800,680.0000,0.000000
FILLER_246_1453,VGND,li1,676.6600,680.0000,0.000000
FILLER_246_1441,VGND,li1,671.1400,680.0000,0.000000
FILLER_246_1429,VGND,li1,665.6200,680.0000,0.000000
FILLER_246_1427,VGND,li1,662.1700,680.0000,0.000000
FILLER_246_1425,VGND,li1,661.4800,680.0000,0.000000
FILLER_246_1421,VGND,li1,660.1000,680.0000,0.000000
FILLER_246_1409,VGND,li1,656.4200,680.0000,0.000000
FILLER_246_1397,VGND,li1,650.9000,680.0000,0.000000
FILLER_246_1385,VGND,li1,645.3800,680.0000,0.000000
FILLER_246_1373,VGND,li1,639.8600,680.0000,0.000000
FILLER_246_1371,VGND,li1,636.4100,680.0000,0.000000
FILLER_246_1369,VGND,li1,635.7200,680.0000,0.000000
FILLER_246_1365,VGND,li1,634.3400,680.0000,0.000000
FILLER_246_1353,VGND,li1,630.6600,680.0000,0.000001
FILLER_246_1341,VGND,li1,625.1400,680.0000,0.000001
FILLER_246_1329,VGND,li1,619.6200,680.0000,0.000001
FILLER_246_1317,VGND,li1,614.1000,680.0000,0.000001
FILLER_246_1315,VGND,li1,610.6500,680.0000,0.000001
FILLER_246_1313,VGND,li1,609.9600,680.0000,0.000001
FILLER_246_1309,VGND,li1,608.5800,680.0000,0.000001
FILLER_246_1297,VGND,li1,604.9000,680.0000,0.000001
FILLER_246_1285,VGND,li1,599.3800,680.0000,0.000002
