net,length_um
net3408,6.6µm
net3422,6.6µm
net3431,6.6µm
net3625,6.6µm
net3636,6.6µm
net3638,6.6µm
net3670,6.6µm
net3874,6.6µm
net3896,6.6µm
net4183,6.6µm
net4317,6.6µm
net4502,6.6µm
net4512,6.6µm
net4690,6.6µm
net4694,6.6µm
net4938,6.6µm
net5088,6.6µm
net5476,6.6µm
net5498,6.6µm
net5677,6.6µm
net5930,6.6µm
net5993,6.6µm
net5995,6.6µm
_10562_,6.595µm
_04419_,6.58µm
_06257_,6.58µm
_06710_,6.58µm
_06896_,6.58µm
_07163_,6.58µm
_08448_,6.58µm
_09795_,6.58µm
mstate\[25\]\[14\],6.58µm
mstate\[33\]\[12\],6.58µm
mstate\[96\]\[22\],6.58µm
mstate\[98\]\[28\],6.58µm
net3986,6.58µm
_05185_,6.575µm
mstate\[84\]\[21\],6.575µm
mstate\[91\]\[26\],6.575µm
addr[3],6.57µm
_00100_,6.565µm
_03664_,6.565µm
_00921_,6.56µm
_03301_,6.56µm
_06295_,6.555µm
_02724_,6.545µm
_06055_,6.54µm
_06128_,6.54µm
_08188_,6.54µm
_09108_,6.54µm
_09843_,6.54µm
mstate\[106\]\[0\],6.54µm
mstate\[120\]\[3\],6.54µm
mstate\[27\]\[14\],6.54µm
mstate\[2\]\[14\],6.54µm
mstate\[39\]\[2\],6.54µm
mstate\[52\]\[28\],6.54µm
mstate\[78\]\[22\],6.54µm
net4148,6.54µm
net5667,6.54µm
net5706,6.53µm
_00512_,6.525µm
_02327_,6.525µm
_02995_,6.525µm
_03442_,6.525µm
_03461_,6.525µm
mstate\[30\]\[13\],6.525µm
mstate\[35\]\[15\],6.525µm
_04570_,6.52µm
_05413_,6.52µm
_05544_,6.52µm
_06104_,6.52µm
_06669_,6.52µm
_06998_,6.52µm
_07190_,6.52µm
_07321_,6.52µm
_07423_,6.52µm
_08316_,6.52µm
_09283_,6.52µm
_09412_,6.52µm
mstate\[0\]\[13\],6.52µm
mstate\[0\]\[30\],6.52µm
mstate\[116\]\[30\],6.52µm
mstate\[14\]\[10\],6.52µm
mstate\[28\]\[27\],6.52µm
mstate\[39\]\[15\],6.52µm
mstate\[49\]\[13\],6.52µm
mstate\[58\]\[17\],6.52µm
mstate\[63\]\[4\],6.52µm
mstate\[68\]\[15\],6.52µm
mstate\[82\]\[24\],6.52µm
mstate\[99\]\[23\],6.52µm
net3561,6.52µm
net3699,6.52µm
net5474,6.52µm
net5760,6.52µm
net5883,6.52µm
net5959,6.52µm
mstate\[103\]\[29\],6.505µm
_01874_,6.5µm
_02316_,6.5µm
_02335_,6.5µm
_02583_,6.5µm
_03649_,6.5µm
_09924_,6.5µm
_10369_,6.5µm
_11133_,6.5µm
mstate\[103\]\[22\],6.5µm
mstate\[12\]\[3\],6.5µm
mstate\[26\]\[27\],6.5µm
mstate\[38\]\[31\],6.5µm
mstate\[48\]\[1\],6.5µm
mstate\[64\]\[0\],6.5µm
mstate\[66\]\[10\],6.5µm
mstate\[73\]\[28\],6.5µm
mstate\[73\]\[29\],6.5µm
mstate\[83\]\[11\],6.5µm
mstate\[91\]\[15\],6.5µm
mstate\[98\]\[30\],6.5µm
_06290_,6.495µm
mstate\[105\]\[6\],6.495µm
mstate\[110\]\[28\],6.495µm
mstate\[121\]\[21\],6.495µm
mstate\[1\]\[8\],6.495µm
mstate\[25\]\[20\],6.495µm
mstate\[30\]\[21\],6.495µm
mstate\[42\]\[10\],6.495µm
mstate\[56\]\[3\],6.495µm
mstate\[57\]\[10\],6.495µm
mstate\[67\]\[30\],6.495µm
mstate\[77\]\[10\],6.495µm
mstate\[78\]\[13\],6.495µm
mstate\[97\]\[2\],6.495µm
mstate\[97\]\[5\],6.495µm
mstate\[9\]\[5\],6.495µm
mstate\[9\]\[8\],6.495µm
net5635,6.49µm
_00110_,6.485µm
_00200_,6.485µm
_00456_,6.485µm
_00458_,6.485µm
_00548_,6.485µm
_00893_,6.485µm
_00918_,6.485µm
_00990_,6.485µm
_01029_,6.485µm
_01103_,6.485µm
_01177_,6.485µm
_01182_,6.485µm
_01211_,6.485µm
_01325_,6.485µm
_01446_,6.485µm
_01482_,6.485µm
_01628_,6.485µm
_01672_,6.485µm
_01778_,6.485µm
_01866_,6.485µm
_01867_,6.485µm
_01868_,6.485µm
_01905_,6.485µm
_01977_,6.485µm
_02065_,6.485µm
_02267_,6.485µm
_02365_,6.485µm
_02609_,6.485µm
_02633_,6.485µm
_02634_,6.485µm
_02645_,6.485µm
_02664_,6.485µm
_02726_,6.485µm
_02777_,6.485µm
_02846_,6.485µm
_02891_,6.485µm
_02982_,6.485µm
_03054_,6.485µm
_03220_,6.485µm
_03327_,6.485µm
_03361_,6.485µm
_03418_,6.485µm
_03482_,6.485µm
_03515_,6.485µm
_03527_,6.485µm
_03759_,6.485µm
_03869_,6.485µm
_03877_,6.485µm
_03948_,6.485µm
_04703_,6.48µm
_05242_,6.48µm
_05472_,6.48µm
_05553_,6.48µm
_05920_,6.48µm
_06298_,6.48µm
_06383_,6.48µm
_07078_,6.48µm
_07870_,6.48µm
_07880_,6.48µm
_07975_,6.48µm
_08180_,6.48µm
_08297_,6.48µm
_08375_,6.48µm
_08893_,6.48µm
_08994_,6.48µm
_09517_,6.48µm
_10861_,6.48µm
mstate\[102\]\[30\],6.48µm
mstate\[105\]\[11\],6.48µm
mstate\[116\]\[28\],6.48µm
mstate\[38\]\[10\],6.48µm
mstate\[3\]\[2\],6.48µm
mstate\[68\]\[25\],6.48µm
mstate\[86\]\[16\],6.48µm
mstate\[89\]\[18\],6.48µm
mstate\[92\]\[27\],6.48µm
net3280,6.48µm
net3401,6.48µm
net4143,6.48µm
net5363,6.48µm
net5731,6.48µm
mstate\[103\]\[26\],6.475µm
_00074_,6.465µm
_00173_,6.465µm
_00323_,6.465µm
_00335_,6.465µm
_00592_,6.465µm
_00724_,6.465µm
_01234_,6.465µm
_01300_,6.465µm
_01707_,6.465µm
_01765_,6.465µm
_02119_,6.465µm
_02232_,6.465µm
_02357_,6.465µm
_02684_,6.465µm
_02699_,6.465µm
_03073_,6.465µm
_03651_,6.465µm
_03666_,6.465µm
_03848_,6.465µm
_03922_,6.465µm
_03984_,6.465µm
_04013_,6.465µm
_04086_,6.465µm
addr[2],6.45µm
_01408_,6.445µm
_03579_,6.445µm
_04094_,6.445µm
_05486_,6.44µm
mstate\[108\]\[9\],6.44µm
mstate\[120\]\[28\],6.44µm
mstate\[25\]\[28\],6.44µm
mstate\[84\]\[14\],6.44µm
net3318,6.44µm
net5052,6.44µm
net5658,6.44µm
_06780_,6.43µm
d_out[27],6.43µm
_00051_,6.425µm
_00125_,6.425µm
_00551_,6.425µm
_00850_,6.425µm
_01376_,6.425µm
_01476_,6.425µm
_01703_,6.425µm
_01719_,6.425µm
_01920_,6.425µm
_02064_,6.425µm
_02075_,6.425µm
_02114_,6.425µm
_02621_,6.425µm
_03034_,6.425µm
_03670_,6.425µm
_03905_,6.425µm
_03935_,6.425µm
_03975_,6.425µm
_03087_,6.42µm
_04102_,6.42µm
_04695_,6.42µm
mstate\[10\]\[16\],6.42µm
mstate\[23\]\[27\],6.42µm
mstate\[26\]\[29\],6.42µm
mstate\[60\]\[17\],6.42µm
mstate\[75\]\[8\],6.42µm
mstate\[85\]\[2\],6.42µm
mstate\[2\]\[31\],6.405µm
mstate\[32\]\[3\],6.405µm
mstate\[88\]\[22\],6.405µm
_06406_,6.4µm
_07653_,6.4µm
_08810_,6.4µm
_08858_,6.4µm
_09498_,6.4µm
_09513_,6.4µm
mstate\[0\]\[31\],6.4µm
mstate\[107\]\[31\],6.4µm
mstate\[109\]\[0\],6.4µm
mstate\[109\]\[9\],6.4µm
mstate\[115\]\[0\],6.4µm
mstate\[115\]\[10\],6.4µm
mstate\[118\]\[23\],6.4µm
mstate\[11\]\[2\],6.4µm
mstate\[123\]\[0\],6.4µm
mstate\[123\]\[19\],6.4µm
mstate\[123\]\[6\],6.4µm
mstate\[124\]\[29\],6.4µm
mstate\[30\]\[30\],6.4µm
mstate\[31\]\[11\],6.4µm
mstate\[38\]\[2\],6.4µm
mstate\[40\]\[6\],6.4µm
mstate\[45\]\[16\],6.4µm
mstate\[51\]\[16\],6.4µm
mstate\[52\]\[0\],6.4µm
mstate\[55\]\[7\],6.4µm
mstate\[56\]\[10\],6.4µm
mstate\[59\]\[30\],6.4µm
mstate\[61\]\[13\],6.4µm
mstate\[72\]\[14\],6.4µm
mstate\[75\]\[23\],6.4µm
mstate\[82\]\[26\],6.4µm
mstate\[87\]\[29\],6.4µm
mstate\[8\]\[19\],6.4µm
mstate\[94\]\[9\],6.4µm
mstate\[95\]\[23\],6.4µm
mstate\[95\]\[9\],6.4µm
mstate\[96\]\[6\],6.4µm
mstate\[98\]\[11\],6.4µm
mstate\[98\]\[15\],6.4µm
net3552,6.4µm
net4421,6.4µm
net5435,6.4µm
_00385_,6.395µm
mstate\[105\]\[29\],6.395µm
mstate\[62\]\[30\],6.395µm
_02158_,6.385µm
_03993_,6.38µm
_04259_,6.38µm
_05238_,6.38µm
_07532_,6.38µm
mstate\[106\]\[15\],6.38µm
mstate\[31\]\[4\],6.38µm
mstate\[38\]\[12\],6.38µm
mstate\[3\]\[12\],6.38µm
mstate\[47\]\[2\],6.38µm
mstate\[68\]\[8\],6.38µm
net3969,6.37µm
_00092_,6.365µm
_00326_,6.365µm
_00417_,6.365µm
_00603_,6.365µm
_01041_,6.365µm
_01099_,6.365µm
_01142_,6.365µm
_02220_,6.365µm
_02505_,6.365µm
_03438_,6.365µm
_03794_,6.365µm
mstate\[100\]\[21\],6.365µm
mstate\[112\]\[27\],6.365µm
mstate\[34\]\[28\],6.365µm
mstate\[78\]\[2\],6.365µm
_05447_,6.36µm
_10653_,6.36µm
mstate\[110\]\[10\],6.36µm
mstate\[121\]\[22\],6.36µm
mstate\[122\]\[25\],6.36µm
mstate\[123\]\[14\],6.36µm
mstate\[126\]\[7\],6.36µm
mstate\[12\]\[5\],6.36µm
mstate\[16\]\[6\],6.36µm
mstate\[1\]\[19\],6.36µm
mstate\[24\]\[26\],6.36µm
mstate\[24\]\[28\],6.36µm
mstate\[30\]\[17\],6.36µm
mstate\[33\]\[9\],6.36µm
mstate\[34\]\[23\],6.36µm
mstate\[43\]\[16\],6.36µm
mstate\[52\]\[10\],6.36µm
mstate\[53\]\[7\],6.36µm
mstate\[54\]\[2\],6.36µm
mstate\[58\]\[19\],6.36µm
mstate\[68\]\[24\],6.36µm
mstate\[6\]\[30\],6.36µm
mstate\[78\]\[28\],6.36µm
mstate\[79\]\[6\],6.36µm
mstate\[7\]\[5\],6.36µm
mstate\[90\]\[28\],6.36µm
mstate\[93\]\[20\],6.36µm
net2903,6.36µm
net5797,6.36µm
_03192_,6.355µm
_05278_,6.355µm
net6095,6.33µm
_00925_,6.325µm
_04056_,6.32µm
_05349_,6.32µm
_05930_,6.32µm
_06588_,6.32µm
_08552_,6.32µm
_08641_,6.32µm
_08651_,6.32µm
_08819_,6.32µm
_08847_,6.32µm
_09197_,6.32µm
_09461_,6.32µm
_09888_,6.32µm
mstate\[49\]\[29\],6.32µm
mstate\[65\]\[24\],6.32µm
mstate\[87\]\[28\],6.32µm
net3061,6.32µm
net3226,6.32µm
net3899,6.32µm
net4246,6.32µm
net4590,6.32µm
net4907,6.32µm
net5407,6.32µm
net5821,6.32µm
net5899,6.32µm
d_in[19],6.31µm
_00566_,6.305µm
_00717_,6.305µm
_02532_,6.305µm
mstate\[73\]\[27\],6.305µm
_00114_,6.3µm
_05266_,6.3µm
_05293_,6.3µm
_05902_,6.3µm
_05956_,6.3µm
_06098_,6.3µm
_06314_,6.3µm
_06386_,6.3µm
_06397_,6.3µm
_06426_,6.3µm
_06576_,6.3µm
_06580_,6.3µm
_06649_,6.3µm
_06682_,6.3µm
_06843_,6.3µm
_07242_,6.3µm
_07384_,6.3µm
_07449_,6.3µm
_07576_,6.3µm
_07620_,6.3µm
_07730_,6.3µm
_07949_,6.3µm
_08137_,6.3µm
_08311_,6.3µm
_08409_,6.3µm
_08471_,6.3µm
_08953_,6.3µm
_09111_,6.3µm
_09250_,6.3µm
_09417_,6.3µm
_09418_,6.3µm
_09438_,6.3µm
_09478_,6.3µm
_09505_,6.3µm
_09568_,6.3µm
_11231_,6.3µm
mstate\[0\]\[26\],6.3µm
mstate\[111\]\[20\],6.3µm
mstate\[112\]\[18\],6.3µm
mstate\[121\]\[11\],6.3µm
mstate\[38\]\[15\],6.3µm
mstate\[45\]\[26\],6.3µm
mstate\[58\]\[9\],6.3µm
mstate\[7\]\[27\],6.3µm
mstate\[83\]\[5\],6.3µm
net2862,6.3µm
net2928,6.3µm
net3031,6.3µm
net3169,6.3µm
net3285,6.3µm
net3400,6.3µm
net3410,6.3µm
net3413,6.3µm
net3501,6.3µm
net3510,6.3µm
net3522,6.3µm
net3696,6.3µm
net3701,6.3µm
net3717,6.3µm
net3752,6.3µm
net3781,6.3µm
net3843,6.3µm
net3978,6.3µm
net4007,6.3µm
net4015,6.3µm
net4021,6.3µm
net4030,6.3µm
net4043,6.3µm
net4187,6.3µm
net4212,6.3µm
net4293,6.3µm
net4354,6.3µm
net4402,6.3µm
net4450,6.3µm
net4566,6.3µm
net4614,6.3µm
net4622,6.3µm
net4724,6.3µm
net4790,6.3µm
net4804,6.3µm
net4845,6.3µm
net4889,6.3µm
net4890,6.3µm
net4989,6.3µm
net5049,6.3µm
net5134,6.3µm
net5136,6.3µm
net5150,6.3µm
net5158,6.3µm
net5181,6.3µm
net5210,6.3µm
net5241,6.3µm
net5280,6.3µm
net5346,6.3µm
net5434,6.3µm
net5456,6.3µm
net5459,6.3µm
net5475,6.3µm
net5567,6.3µm
net5697,6.3µm
net5773,6.3µm
net6080,6.3µm
_04163_,6.295µm
net5495,6.29µm
_02230_,6.285µm
mstate\[6\]\[16\],6.285µm
mstate\[91\]\[1\],6.285µm
_00017_,6.28µm
_04761_,6.28µm
_04818_,6.28µm
_04859_,6.28µm
_05787_,6.28µm
_10576_,6.28µm
mstate\[101\]\[15\],6.28µm
mstate\[101\]\[21\],6.28µm
mstate\[102\]\[16\],6.28µm
mstate\[109\]\[1\],6.28µm
mstate\[114\]\[19\],6.28µm
mstate\[115\]\[15\],6.28µm
mstate\[116\]\[10\],6.28µm
mstate\[117\]\[10\],6.28µm
mstate\[120\]\[14\],6.28µm
mstate\[121\]\[5\],6.28µm
mstate\[122\]\[28\],6.28µm
mstate\[122\]\[8\],6.28µm
mstate\[126\]\[25\],6.28µm
mstate\[15\]\[27\],6.28µm
mstate\[15\]\[7\],6.28µm
mstate\[16\]\[0\],6.28µm
mstate\[17\]\[10\],6.28µm
mstate\[18\]\[8\],6.28µm
mstate\[20\]\[3\],6.28µm
mstate\[24\]\[20\],6.28µm
mstate\[25\]\[24\],6.28µm
mstate\[35\]\[26\],6.28µm
mstate\[43\]\[1\],6.28µm
mstate\[43\]\[9\],6.28µm
mstate\[44\]\[30\],6.28µm
mstate\[46\]\[15\],6.28µm
mstate\[48\]\[12\],6.28µm
mstate\[4\]\[3\],6.28µm
mstate\[59\]\[16\],6.28µm
mstate\[61\]\[10\],6.28µm
mstate\[64\]\[23\],6.28µm
mstate\[68\]\[7\],6.28µm
mstate\[70\]\[19\],6.28µm
mstate\[78\]\[15\],6.28µm
mstate\[83\]\[10\],6.28µm
mstate\[94\]\[12\],6.28µm
mstate\[95\]\[18\],6.28µm
mstate\[97\]\[15\],6.28µm
mstate\[97\]\[26\],6.28µm
net2976,6.28µm
_02763_,6.265µm
_03177_,6.265µm
_03521_,6.265µm
mstate\[40\]\[2\],6.265µm
_05499_,6.26µm
_05645_,6.26µm
_05727_,6.26µm
_05960_,6.26µm
_06022_,6.26µm
_06558_,6.26µm
_06650_,6.26µm
_06685_,6.26µm
_06724_,6.26µm
_06937_,6.26µm
_07062_,6.26µm
_07157_,6.26µm
_07229_,6.26µm
_07268_,6.26µm
_07279_,6.26µm
_07300_,6.26µm
_07361_,6.26µm
_07542_,6.26µm
_07592_,6.26µm
_07684_,6.26µm
_07914_,6.26µm
_08286_,6.26µm
_08315_,6.26µm
_08435_,6.26µm
_08499_,6.26µm
_08521_,6.26µm
_08578_,6.26µm
_08885_,6.26µm
_08889_,6.26µm
_08935_,6.26µm
_09419_,6.26µm
_10015_,6.26µm
_11016_,6.26µm
mstate\[108\]\[18\],6.26µm
mstate\[122\]\[17\],6.26µm
mstate\[18\]\[24\],6.26µm
mstate\[33\]\[19\],6.26µm
mstate\[33\]\[30\],6.26µm
mstate\[37\]\[23\],6.26µm
mstate\[39\]\[27\],6.26µm
mstate\[56\]\[7\],6.26µm
mstate\[71\]\[0\],6.26µm
mstate\[75\]\[28\],6.26µm
mstate\[81\]\[14\],6.26µm
mstate\[8\]\[7\],6.26µm
mstate\[91\]\[16\],6.26µm
mstate\[9\]\[6\],6.26µm
net2929,6.26µm
net2987,6.26µm
net3047,6.26µm
net3131,6.26µm
net3155,6.26µm
net3992,6.26µm
net4049,6.26µm
net4260,6.26µm
net4960,6.26µm
net5863,6.26µm
net5936,6.26µm
mstate\[29\]\[12\],6.255µm
_05998_,6.24µm
mstate\[114\]\[28\],6.24µm
mstate\[116\]\[27\],6.24µm
mstate\[27\]\[15\],6.24µm
mstate\[77\]\[29\],6.24µm
mstate\[59\]\[27\],6.235µm
bit_en[25],6.23µm
_00420_,6.225µm
_00425_,6.225µm
_00651_,6.225µm
_00940_,6.225µm
_01068_,6.225µm
_01608_,6.225µm
_01625_,6.225µm
_01816_,6.225µm
_02054_,6.225µm
_02844_,6.225µm
_03635_,6.225µm
_07665_,6.215µm
d_out[25],6.21µm
d_out[8],6.21µm
_00378_,6.205µm
_00958_,6.205µm
_01938_,6.205µm
mstate\[14\]\[13\],6.205µm
mstate\[15\]\[1\],6.205µm
_03609_,6.2µm
_04596_,6.2µm
_04659_,6.2µm
_04746_,6.2µm
_05163_,6.2µm
_05366_,6.2µm
_06347_,6.2µm
_06991_,6.2µm
_07025_,6.2µm
_07065_,6.2µm
_07091_,6.2µm
_07471_,6.2µm
_07809_,6.2µm
_08029_,6.2µm
_08806_,6.2µm
_09330_,6.2µm
_09892_,6.2µm
_09998_,6.2µm
_10589_,6.2µm
_10908_,6.2µm
mstate\[0\]\[1\],6.2µm
mstate\[123\]\[18\],6.2µm
mstate\[125\]\[0\],6.2µm
mstate\[18\]\[9\],6.2µm
mstate\[35\]\[11\],6.2µm
mstate\[47\]\[9\],6.2µm
mstate\[54\]\[28\],6.2µm
mstate\[56\]\[11\],6.2µm
mstate\[56\]\[6\],6.2µm
mstate\[60\]\[18\],6.2µm
mstate\[69\]\[15\],6.2µm
mstate\[74\]\[21\],6.2µm
mstate\[78\]\[5\],6.2µm
mstate\[92\]\[13\],6.2µm
net3706,6.2µm
net4830,6.2µm
_00263_,6.185µm
_00523_,6.185µm
_00997_,6.185µm
_01084_,6.185µm
_02260_,6.185µm
_02486_,6.185µm
_02610_,6.185µm
_03031_,6.185µm
_03090_,6.185µm
_03100_,6.185µm
_03289_,6.185µm
_03385_,6.185µm
_03973_,6.185µm
mstate\[122\]\[21\],6.185µm
mstate\[78\]\[19\],6.185µm
mstate\[9\]\[7\],6.185µm
_04190_,6.18µm
_04532_,6.18µm
_05016_,6.18µm
_05284_,6.18µm
_05405_,6.18µm
_05506_,6.18µm
_05510_,6.18µm
_05512_,6.18µm
_05519_,6.18µm
_05578_,6.18µm
_05609_,6.18µm
_05711_,6.18µm
_05713_,6.18µm
_05734_,6.18µm
_05850_,6.18µm
_05890_,6.18µm
_05894_,6.18µm
_05919_,6.18µm
_05939_,6.18µm
_05980_,6.18µm
_06190_,6.18µm
_06293_,6.18µm
_06299_,6.18µm
_06322_,6.18µm
_06341_,6.18µm
_06435_,6.18µm
_06572_,6.18µm
_06817_,6.18µm
_06818_,6.18µm
_06821_,6.18µm
_06883_,6.18µm
_06971_,6.18µm
_06976_,6.18µm
_07006_,6.18µm
_07108_,6.18µm
_07204_,6.18µm
_07210_,6.18µm
_07275_,6.18µm
_07331_,6.18µm
_07394_,6.18µm
_07397_,6.18µm
_07463_,6.18µm
_07489_,6.18µm
_07561_,6.18µm
_07603_,6.18µm
_07712_,6.18µm
_07722_,6.18µm
_07936_,6.18µm
_07983_,6.18µm
_08045_,6.18µm
_08046_,6.18µm
_08071_,6.18µm
_08080_,6.18µm
_08109_,6.18µm
_08111_,6.18µm
_08124_,6.18µm
_08160_,6.18µm
_08169_,6.18µm
_08193_,6.18µm
_08208_,6.18µm
_08358_,6.18µm
_08382_,6.18µm
_08387_,6.18µm
_08401_,6.18µm
_08501_,6.18µm
_08577_,6.18µm
_08631_,6.18µm
_08724_,6.18µm
_09105_,6.18µm
_09165_,6.18µm
_09218_,6.18µm
_09253_,6.18µm
_09402_,6.18µm
_09432_,6.18µm
_09726_,6.18µm
_09856_,6.18µm
_10851_,6.18µm
mstate\[103\]\[23\],6.18µm
mstate\[106\]\[27\],6.18µm
mstate\[121\]\[15\],6.18µm
mstate\[26\]\[19\],6.18µm
mstate\[31\]\[3\],6.18µm
mstate\[33\]\[25\],6.18µm
mstate\[35\]\[16\],6.18µm
mstate\[44\]\[17\],6.18µm
mstate\[48\]\[29\],6.18µm
mstate\[4\]\[11\],6.18µm
mstate\[51\]\[4\],6.18µm
mstate\[52\]\[11\],6.18µm
mstate\[55\]\[11\],6.18µm
mstate\[5\]\[5\],6.18µm
mstate\[72\]\[26\],6.18µm
mstate\[75\]\[0\],6.18µm
mstate\[77\]\[30\],6.18µm
mstate\[7\]\[21\],6.18µm
mstate\[82\]\[12\],6.18µm
mstate\[84\]\[12\],6.18µm
mstate\[95\]\[4\],6.18µm
mstate\[95\]\[5\],6.18µm
net3057,6.18µm
net3265,6.18µm
net3277,6.18µm
net3283,6.18µm
net3300,6.18µm
net3378,6.18µm
net3418,6.18µm
net3531,6.18µm
net3740,6.18µm
net3848,6.18µm
net4363,6.18µm
net4399,6.18µm
net4428,6.18µm
net4453,6.18µm
net4546,6.18µm
net4629,6.18µm
net4650,6.18µm
net4708,6.18µm
net4711,6.18µm
net4798,6.18µm
net4876,6.18µm
net4921,6.18µm
net4999,6.18µm
net5208,6.18µm
net5408,6.18µm
net5444,6.18µm
net5614,6.18µm
net5813,6.18µm
net5892,6.18µm
_03470_,6.175µm
net3415,6.17µm
_01974_,6.165µm
_09109_,6.16µm
mstate\[16\]\[12\],6.16µm
mstate\[45\]\[14\],6.155µm
mstate\[94\]\[21\],6.155µm
mstate\[9\]\[31\],6.155µm
mstate\[66\]\[27\],6.145µm
mstate\[86\]\[7\],6.145µm
_04276_,6.14µm
_04304_,6.14µm
_04877_,6.14µm
_05297_,6.14µm
_05332_,6.14µm
_05353_,6.14µm
_05358_,6.14µm
_05393_,6.14µm
_05412_,6.14µm
_05421_,6.14µm
_05628_,6.14µm
_05680_,6.14µm
_05712_,6.14µm
_05744_,6.14µm
_05888_,6.14µm
_06024_,6.14µm
_06040_,6.14µm
_06054_,6.14µm
_06108_,6.14µm
_06114_,6.14µm
_06141_,6.14µm
_06148_,6.14µm
_06482_,6.14µm
_06938_,6.14µm
_06995_,6.14µm
_07027_,6.14µm
_07111_,6.14µm
_07146_,6.14µm
_07209_,6.14µm
_07224_,6.14µm
_07343_,6.14µm
_07421_,6.14µm
_07441_,6.14µm
_07470_,6.14µm
_07516_,6.14µm
_07566_,6.14µm
_07584_,6.14µm
_07642_,6.14µm
_07691_,6.14µm
_07737_,6.14µm
_07743_,6.14µm
_07816_,6.14µm
_07920_,6.14µm
_07929_,6.14µm
_08007_,6.14µm
_08057_,6.14µm
_08073_,6.14µm
_08155_,6.14µm
_08174_,6.14µm
_08232_,6.14µm
_08236_,6.14µm
_08268_,6.14µm
_08312_,6.14µm
_08443_,6.14µm
_08463_,6.14µm
_08477_,6.14µm
_08635_,6.14µm
_08674_,6.14µm
_08734_,6.14µm
_08738_,6.14µm
_08795_,6.14µm
_08938_,6.14µm
_08962_,6.14µm
_08969_,6.14µm
_08992_,6.14µm
_09020_,6.14µm
_09023_,6.14µm
_09169_,6.14µm
_09249_,6.14µm
_09327_,6.14µm
_09365_,6.14µm
_09386_,6.14µm
_09454_,6.14µm
_09934_,6.14µm
_10024_,6.14µm
_10120_,6.14µm
_10273_,6.14µm
_10529_,6.14µm
mstate\[100\]\[10\],6.14µm
mstate\[102\]\[24\],6.14µm
mstate\[108\]\[3\],6.14µm
mstate\[109\]\[27\],6.14µm
mstate\[120\]\[19\],6.14µm
mstate\[16\]\[26\],6.14µm
mstate\[18\]\[23\],6.14µm
mstate\[19\]\[31\],6.14µm
mstate\[24\]\[7\],6.14µm
mstate\[28\]\[25\],6.14µm
mstate\[3\]\[15\],6.14µm
mstate\[40\]\[26\],6.14µm
mstate\[41\]\[23\],6.14µm
mstate\[46\]\[25\],6.14µm
mstate\[47\]\[19\],6.14µm
mstate\[66\]\[14\],6.14µm
mstate\[68\]\[27\],6.14µm
mstate\[7\]\[20\],6.14µm
mstate\[85\]\[6\],6.14µm
mstate\[92\]\[7\],6.14µm
net2857,6.14µm
net3050,6.14µm
net3060,6.14µm
net3139,6.14µm
net3190,6.14µm
net3294,6.14µm
net3317,6.14µm
net3419,6.14µm
net3628,6.14µm
net3776,6.14µm
net3953,6.14µm
net4227,6.14µm
net4409,6.14µm
net4516,6.14µm
net4597,6.14µm
net4686,6.14µm
net4688,6.14µm
net4696,6.14µm
net4734,6.14µm
net4828,6.14µm
net4884,6.14µm
net4924,6.14µm
net5021,6.14µm
net5079,6.14µm
net5141,6.14µm
net5183,6.14µm
net5450,6.14µm
net5458,6.14µm
net5878,6.14µm
net5941,6.14µm
_00349_,6.135µm
_08103_,6.12µm
mstate\[105\]\[9\],6.12µm
mstate\[125\]\[8\],6.12µm
mstate\[48\]\[17\],6.12µm
mstate\[77\]\[26\],6.12µm
mstate\[89\]\[12\],6.12µm
mstate\[9\]\[22\],6.12µm
_01462_,6.115µm
mstate\[12\]\[29\],6.115µm
addr[4],6.11µm
_03659_,6.105µm
_00630_,6.085µm
_00985_,6.085µm
_01221_,6.085µm
_02620_,6.085µm
_03278_,6.085µm
mstate\[114\]\[16\],6.085µm
_01293_,6.08µm
_02525_,6.08µm
_02937_,6.08µm
_06362_,6.08µm
_09050_,6.08µm
_09413_,6.08µm
_10280_,6.08µm
mstate\[32\]\[4\],6.08µm
net5902,6.08µm
_00258_,6.065µm
_00370_,6.065µm
_00519_,6.065µm
_00581_,6.065µm
_00905_,6.065µm
_02807_,6.065µm
mstate\[33\]\[7\],6.065µm
mstate\[9\]\[10\],6.065µm
_01629_,6.06µm
_03576_,6.06µm
_04682_,6.06µm
_05703_,6.06µm
_06009_,6.06µm
_06548_,6.06µm
_06570_,6.06µm
_06694_,6.06µm
_06732_,6.06µm
_06760_,6.06µm
_07973_,6.06µm
_08176_,6.06µm
_09480_,6.06µm
mstate\[0\]\[28\],6.06µm
mstate\[103\]\[9\],6.06µm
mstate\[123\]\[13\],6.06µm
mstate\[126\]\[13\],6.06µm
mstate\[37\]\[21\],6.06µm
mstate\[53\]\[18\],6.06µm
mstate\[54\]\[11\],6.06µm
mstate\[55\]\[21\],6.06µm
mstate\[66\]\[24\],6.06µm
mstate\[6\]\[11\],6.06µm
mstate\[70\]\[31\],6.06µm
mstate\[81\]\[18\],6.06µm
net3144,6.06µm
net4378,6.06µm
_02337_,6.055µm
_03715_,6.045µm
_00995_,6.04µm
_01775_,6.04µm
_01856_,6.04µm
_03165_,6.04µm
_03222_,6.04µm
_04962_,6.04µm
_08355_,6.04µm
_11072_,6.04µm
mstate\[121\]\[1\],6.04µm
mstate\[66\]\[21\],6.035µm
_00120_,6.025µm
_00318_,6.025µm
_00355_,6.025µm
