net,length_um
net1110,473.99µm
net240,472.6µm
net812,472.375µm
net1357,472.02µm
net1398,471.53µm
net1570,471.39µm
net1113,471.32µm
net996,471.1µm
net2205,471.09µm
net1174,469.98µm
net1663,469.915µm
net1003,469.26µm
_05232_,469.19µm
net534,469.16µm
net1732,469.02µm
net974,467.21µm
net1556,466.67µm
_04122_,466.25µm
net356,466.1µm
net471,465.68µm
net415,465.65µm
net438,465.5µm
net1904,465.38µm
_10710_,465.26µm
_09592_,464.785µm
net968,463.85µm
net235,463.8µm
net1653,463µm
net1602,462.35µm
net1485,460.62µm
net1001,460.54µm
net1279,460.5µm
net1041,460.36µm
net938,459.97µm
_09635_,459.59µm
net1577,459.345µm
net1564,459.29µm
_09600_,458.93µm
_09782_,458.21µm
net1013,457.75µm
net485,456.98µm
net1403,454.625µm
net1010,454.45µm
net738,454.25µm
net1987,452.9µm
net1572,451.68µm
net1443,451.37µm
net1045,451.22µm
net1309,451.035µm
net1021,450.495µm
net1253,449.35µm
net1252,449.14µm
net946,448.8µm
net510,448.55µm
net1510,448.295µm
net436,448.26µm
net789,448.21µm
net1159,448.09µm
net1470,447.86µm
_09663_,447.7µm
net1040,447.185µm
_05223_,446.82µm
net1029,445.18µm
net603,445.005µm
net644,444.95µm
net1937,444.62µm
net764,443.61µm
net319,443.31µm
net538,443.13µm
net642,443.06µm
_09562_,442.7µm
net1349,442.09µm
net729,442µm
net1112,441.9µm
net608,441.715µm
_06250_,441.47µm
net2256,440.82µm
net686,440.09µm
net2149,439.92µm
net1263,439.49µm
net2188,439.36µm
net1463,439.345µm
net1195,439.055µm
net587,439.025µm
_04879_,438.04µm
net382,437.93µm
net1245,437.375µm
net151,437.16µm
net833,437.075µm
_09713_,437.07µm
net865,436.18µm
net661,435.93µm
net174,435.45µm
net1422,435.44µm
net2816,435.23µm
net372,434.79µm
net808,434.41µm
net723,433.62µm
net441,433.54µm
net1264,433.155µm
_09672_,432.79µm
net590,432.21µm
net409,431.84µm
_09732_,431.49µm
net1142,431.49µm
net977,431.375µm
net1254,431.18µm
net327,430.97µm
net1636,430.875µm
net237,430.82µm
net2045,430.76µm
net195,430.4µm
net867,430.1µm
net722,429.51µm
net466,428.62µm
net895,428.195µm
net2353,428.1µm
net364,427.66µm
net581,427.355µm
net251,426.58µm
net621,425.95µm
net2137,425.79µm
